,date,avail
0,2021-01-01,1
1,2021-01-02,1
2,2021-01-03,0
3,2021-01-04,0
4,2021-01-05,0
5,2021-01-06,0
6,2021-01-07,0
7,2021-01-08,1
8,2021-01-09,1
9,2021-01-10,1
10,2021-01-11,0
11,2021-01-12,0
12,2021-01-13,1
13,2021-01-14,0
14,2021-01-15,0
15,2021-01-16,1
16,2021-01-17,1
17,2021-01-18,1
18,2021-01-19,0
19,2021-01-20,0
20,2021-01-21,0
21,2021-01-22,0
22,2021-01-23,0
23,2021-01-24,0
24,2021-01-25,1
25,2021-01-26,1
26,2021-01-27,1
27,2021-01-28,1
28,2021-01-29,1
29,2021-01-30,1
30,2021-01-31,0
31,2021-02-01,0
32,2021-02-02,0
33,2021-02-03,1
34,2021-02-04,1
35,2021-02-05,1
36,2021-02-06,1
37,2021-02-07,1
38,2021-02-08,0
39,2021-02-09,0
40,2021-02-10,1
41,2021-02-11,1
42,2021-02-12,0
43,2021-02-13,0
44,2021-02-14,0
45,2021-02-15,1
46,2021-02-16,0
47,2021-02-17,1
48,2021-02-18,0
49,2021-02-19,0
50,2021-02-20,0
51,2021-02-21,0
52,2021-02-22,1
53,2021-02-23,0
54,2021-02-24,1
55,2021-02-25,1
56,2021-02-26,0
57,2021-02-27,1
58,2021-02-28,0
59,2021-03-01,0
60,2021-03-02,0
61,2021-03-03,0
62,2021-03-04,1
63,2021-03-05,0
64,2021-03-06,0
65,2021-03-07,0
66,2021-03-08,0
67,2021-03-09,1
68,2021-03-10,0
69,2021-03-11,0
70,2021-03-12,0
71,2021-03-13,1
72,2021-03-14,0
73,2021-03-15,1
74,2021-03-16,1
75,2021-03-17,0
76,2021-03-18,0
77,2021-03-19,1
78,2021-03-20,0
79,2021-03-21,0
80,2021-03-22,1
81,2021-03-23,0
82,2021-03-24,1
83,2021-03-25,0
84,2021-03-26,1
85,2021-03-27,1
86,2021-03-28,1
87,2021-03-29,1
88,2021-03-30,0
89,2021-03-31,1
90,2021-04-01,1
91,2021-04-02,1
92,2021-04-03,0
93,2021-04-04,1
94,2021-04-05,0
95,2021-04-06,0
96,2021-04-07,0
97,2021-04-08,1
98,2021-04-09,1
99,2021-04-10,0
100,2021-04-11,1
101,2021-04-12,0
102,2021-04-13,1
103,2021-04-14,1
104,2021-04-15,1
105,2021-04-16,1
106,2021-04-17,0
107,2021-04-18,0
108,2021-04-19,1
109,2021-04-20,0
110,2021-04-21,0
111,2021-04-22,1
112,2021-04-23,1
113,2021-04-24,0
114,2021-04-25,0
115,2021-04-26,1
116,2021-04-27,0
117,2021-04-28,0
118,2021-04-29,0
119,2021-04-30,0
120,2021-05-01,0
121,2021-05-02,0
122,2021-05-03,0
123,2021-05-04,0
124,2021-05-05,1
125,2021-05-06,1
126,2021-05-07,1
127,2021-05-08,1
128,2021-05-09,1
129,2021-05-10,0
130,2021-05-11,1
131,2021-05-12,1
132,2021-05-13,1
133,2021-05-14,1
134,2021-05-15,1
135,2021-05-16,0
136,2021-05-17,1
137,2021-05-18,1
138,2021-05-19,0
139,2021-05-20,0
140,2021-05-21,1
141,2021-05-22,1
142,2021-05-23,0
143,2021-05-24,1
144,2021-05-25,0
145,2021-05-26,0
146,2021-05-27,1
147,2021-05-28,0
148,2021-05-29,0
149,2021-05-30,1
150,2021-05-31,1
151,2021-06-01,1
152,2021-06-02,1
153,2021-06-03,1
154,2021-06-04,0
155,2021-06-05,0
156,2021-06-06,1
157,2021-06-07,1
158,2021-06-08,1
159,2021-06-09,0
160,2021-06-10,0
161,2021-06-11,0
162,2021-06-12,1
163,2021-06-13,0
164,2021-06-14,1
165,2021-06-15,1
166,2021-06-16,0
167,2021-06-17,1
168,2021-06-18,1
169,2021-06-19,0
170,2021-06-20,0
171,2021-06-21,1
172,2021-06-22,0
173,2021-06-23,1
174,2021-06-24,0
175,2021-06-25,1
176,2021-06-26,1
177,2021-06-27,1
178,2021-06-28,0
179,2021-06-29,0
180,2021-06-30,0
181,2021-07-01,0
182,2021-07-02,0
183,2021-07-03,1
184,2021-07-04,1
185,2021-07-05,0
186,2021-07-06,1
187,2021-07-07,0
188,2021-07-08,1
189,2021-07-09,0
190,2021-07-10,0
191,2021-07-11,0
192,2021-07-12,1
193,2021-07-13,0
194,2021-07-14,0
195,2021-07-15,0
196,2021-07-16,0
197,2021-07-17,1
198,2021-07-18,0
199,2021-07-19,0
200,2021-07-20,1
201,2021-07-21,0
202,2021-07-22,1
203,2021-07-23,1
204,2021-07-24,0
205,2021-07-25,1
206,2021-07-26,1
207,2021-07-27,0
208,2021-07-28,0
209,2021-07-29,1
210,2021-07-30,1
211,2021-07-31,0
212,2021-08-01,0
213,2021-08-02,0
214,2021-08-03,0
215,2021-08-04,0
216,2021-08-05,1
217,2021-08-06,0
218,2021-08-07,1
219,2021-08-08,1
220,2021-08-09,0
221,2021-08-10,1
222,2021-08-11,0
223,2021-08-12,0
224,2021-08-13,1
225,2021-08-14,1
226,2021-08-15,1
227,2021-08-16,0
228,2021-08-17,1
229,2021-08-18,0
230,2021-08-19,0
231,2021-08-20,1
232,2021-08-21,1
233,2021-08-22,1
234,2021-08-23,1
235,2021-08-24,1
236,2021-08-25,1
237,2021-08-26,0
238,2021-08-27,0
239,2021-08-28,1
240,2021-08-29,1
241,2021-08-30,0
242,2021-08-31,0
243,2021-09-01,0
244,2021-09-02,0
245,2021-09-03,0
246,2021-09-04,0
247,2021-09-05,0
248,2021-09-06,0
249,2021-09-07,0
250,2021-09-08,1
251,2021-09-09,0
252,2021-09-10,0
253,2021-09-11,1
254,2021-09-12,1
255,2021-09-13,0
256,2021-09-14,0
257,2021-09-15,0
258,2021-09-16,1
259,2021-09-17,1
260,2021-09-18,1
261,2021-09-19,0
262,2021-09-20,1
263,2021-09-21,1
264,2021-09-22,1
265,2021-09-23,0
266,2021-09-24,1
267,2021-09-25,1
268,2021-09-26,0
269,2021-09-27,1
270,2021-09-28,1
271,2021-09-29,0
272,2021-09-30,1
273,2021-10-01,0
274,2021-10-02,0
275,2021-10-03,1
276,2021-10-04,0
277,2021-10-05,1
278,2021-10-06,0
279,2021-10-07,0
280,2021-10-08,1
281,2021-10-09,0
282,2021-10-10,0
283,2021-10-11,1
284,2021-10-12,1
285,2021-10-13,1
286,2021-10-14,0
287,2021-10-15,1
288,2021-10-16,0
289,2021-10-17,1
290,2021-10-18,0
291,2021-10-19,0
292,2021-10-20,1
293,2021-10-21,1
294,2021-10-22,1
295,2021-10-23,1
296,2021-10-24,0
297,2021-10-25,0
298,2021-10-26,1
299,2021-10-27,0
300,2021-10-28,1
301,2021-10-29,1
302,2021-10-30,0
303,2021-10-31,0
304,2021-11-01,1
305,2021-11-02,0
306,2021-11-03,1
307,2021-11-04,0
308,2021-11-05,1
309,2021-11-06,1
310,2021-11-07,1
311,2021-11-08,0
312,2021-11-09,0
313,2021-11-10,1
314,2021-11-11,1
315,2021-11-12,0
316,2021-11-13,1
317,2021-11-14,0
318,2021-11-15,0
319,2021-11-16,0
320,2021-11-17,0
321,2021-11-18,1
322,2021-11-19,0
323,2021-11-20,0
324,2021-11-21,1
325,2021-11-22,0
326,2021-11-23,0
327,2021-11-24,0
328,2021-11-25,1
329,2021-11-26,1
330,2021-11-27,0
331,2021-11-28,0
332,2021-11-29,0
333,2021-11-30,1
334,2021-12-01,1
335,2021-12-02,1
336,2021-12-03,1
337,2021-12-04,0
338,2021-12-05,1
339,2021-12-06,0
340,2021-12-07,0
341,2021-12-08,0
342,2021-12-09,0
343,2021-12-10,0
344,2021-12-11,1
345,2021-12-12,1
346,2021-12-13,0
