,avail,forcast_avail,bottom_level,top_level,percentage
0,1,1,94,11,5
1,0,1,54,70,1
2,0,1,36,6,4
3,1,1,66,74,0
4,0,1,49,97,0
5,1,1,92,80,0
6,0,0,10,72,0
7,0,0,94,88,0
8,0,1,22,26,0
9,1,1,34,37,4
10,1,1,24,83,0
11,1,0,39,61,2
12,1,1,16,19,0
13,0,0,57,86,0
14,0,0,24,85,0
15,1,0,10,96,0
16,1,1,8,84,0
17,1,1,4,42,0
18,1,0,100,18,3
19,1,0,33,46,3
20,1,1,13,8,0
21,0,0,70,59,2
22,0,1,21,28,0
23,1,0,87,45,2
24,1,0,83,28,4
25,1,0,43,12,5
26,0,1,69,69,1
27,0,1,27,48,0
28,1,0,2,74,0
29,0,0,35,18,1
30,1,1,87,4,5
31,0,1,94,93,0
32,0,0,70,30,2
33,0,1,57,65,1
34,1,0,57,63,2
35,0,0,10,49,0
36,1,0,1,44,0
37,0,1,66,74,0
38,0,1,41,78,0
39,1,1,80,19,4
40,0,1,20,20,0
41,0,1,26,9,0
42,1,0,42,53,2
43,1,0,58,29,3
44,1,1,22,41,0
45,1,0,43,85,0
46,0,1,6,49,0
47,1,1,52,91,0
48,1,0,77,94,0
49,1,1,86,15,4
50,1,0,63,84,0
51,0,0,34,81,0
52,1,1,24,66,0
53,1,0,33,76,0
54,0,0,7,71,0
55,1,1,69,25,4
56,1,1,53,94,0
57,1,0,73,35,2
58,0,0,54,75,0
59,0,0,48,93,0
60,0,0,53,92,0
61,1,0,57,88,0
62,1,0,50,74,0
63,0,1,49,79,0
64,1,0,88,5,5
65,0,0,89,27,2
66,1,1,50,6,5
67,1,1,53,46,3
68,1,1,78,12,5
69,0,0,21,59,0
70,0,0,42,44,2
71,0,1,85,54,3
72,1,0,70,88,0
73,1,1,37,83,0
74,1,0,83,69,4
75,1,0,100,2,5
76,0,1,42,21,2
77,0,1,67,55,3
78,0,1,25,83,0
79,0,0,97,29,2
80,1,0,20,77,0
81,1,0,26,60,0
82,0,0,6,94,0
83,0,0,43,20,2
84,1,0,34,70,4
85,1,0,83,10,4
86,0,1,27,97,0
87,1,0,66,40,4
88,1,0,58,16,5
89,0,0,79,38,1
90,1,1,89,16,5
91,1,0,39,15,3
92,1,1,42,84,0
93,1,0,4,95,0
94,1,1,80,69,3
95,0,0,11,80,0
96,0,1,62,93,0
97,1,1,24,15,0
98,1,1,53,37,4
99,0,1,75,54,2
100,0,1,81,94,0
101,0,1,79,87,0
102,0,1,15,23,0
103,0,0,17,79,0
104,1,0,3,98,0
105,0,0,43,77,0
106,0,1,94,28,2
107,0,1,6,81,0
108,1,0,38,42,4
109,1,0,78,78,0
110,0,1,2,94,0
111,0,0,51,13,3
112,1,1,61,82,0
113,0,1,11,3,0
114,1,0,25,79,0
115,0,0,86,44,1
116,1,1,69,50,3
117,1,0,59,12,4
118,1,0,73,4,5
119,1,0,19,19,0
120,0,1,58,0,4
121,0,0,16,20,0
122,1,1,66,5,5
123,1,1,71,59,3
124,0,1,16,100,0
125,0,1,54,10,4
126,1,1,43,53,4
127,0,0,97,83,0
128,1,0,21,90,0
129,0,1,84,78,0
130,1,0,23,85,0
131,1,1,74,94,0
132,1,0,100,72,0
133,0,1,65,97,0
134,0,0,74,24,1
135,0,1,3,24,0
136,1,0,36,30,2
137,1,0,42,56,4
138,1,0,98,93,0
139,0,0,29,68,0
140,1,0,13,99,0
141,0,1,53,53,3
142,0,0,49,43,2
143,0,0,55,88,0
144,1,1,42,36,4
145,0,1,53,76,0
146,0,1,63,46,2
147,1,1,72,65,3
148,1,1,61,50,3
149,0,1,63,15,2
150,1,1,94,55,3
151,0,1,72,15,2
152,1,0,36,73,0
153,1,0,27,25,0
154,1,1,13,84,0
155,0,1,57,21,2
156,0,1,22,11,0
157,1,0,9,74,0
158,1,1,16,81,0
159,0,1,89,94,0
160,0,1,25,7,0
161,0,1,84,56,3
162,0,0,7,72,0
163,0,0,56,48,1
164,1,0,95,33,3
165,0,1,24,49,0
166,1,1,82,5,5
167,1,0,55,95,0
168,1,0,90,5,5
169,0,0,66,65,2
170,0,1,36,26,3
171,1,1,87,47,4
172,1,0,88,96,0
173,1,0,59,97,0
174,1,0,94,58,4
175,0,1,90,30,3
176,0,1,86,22,2
177,0,1,15,25,0
178,1,0,38,90,0
179,1,1,56,40,4
180,1,0,69,65,4
181,0,0,59,6,3
182,0,1,75,2,5
183,1,1,74,88,0
184,0,1,81,4,5
185,1,1,14,51,0
186,1,1,67,88,0
187,0,1,71,28,3
188,0,0,3,60,0
189,0,1,100,4,5
190,0,0,27,54,0
191,0,0,87,30,1
192,1,1,50,82,0
193,0,0,13,68,0
194,0,1,70,37,2
195,0,0,12,75,0
196,1,1,32,40,4
197,1,1,9,15,0
198,0,1,48,54,2
199,1,0,16,87,0
200,1,1,93,46,3
201,1,0,51,99,0
202,0,1,77,82,0
203,1,0,69,30,2
204,0,1,79,93,0
205,0,0,98,64,2
206,1,1,78,48,4
207,1,1,72,9,5
208,0,0,20,49,0
209,0,1,55,81,0
210,1,1,60,71,0
211,1,0,63,33,2
212,1,1,85,20,5
213,0,0,16,92,0
214,1,1,26,68,0
215,0,1,61,3,4
216,0,0,23,86,0
217,1,0,47,84,0
218,1,0,50,52,3
219,0,0,42,97,0
220,1,0,100,2,5
221,0,0,93,36,1
222,1,0,94,74,0
223,0,1,49,96,0
224,0,1,14,21,0
225,0,0,12,14,0
226,0,1,49,17,3
227,0,1,65,69,1
228,1,1,41,64,1
229,0,0,99,65,1
230,1,1,24,13,0
231,1,0,24,54,0
232,0,1,54,32,3
233,1,1,7,66,0
234,1,1,15,96,0
235,1,0,30,72,0
236,1,0,94,3,5
237,0,0,94,34,1
238,1,0,14,70,0
239,1,0,95,50,4
240,0,0,85,81,0
241,0,1,68,13,4
242,0,0,52,15,1
243,0,1,98,73,0
244,1,1,99,61,2
245,0,0,15,47,0
246,1,0,16,50,0
247,0,1,12,2,0
248,0,0,61,81,0
249,0,1,91,16,3
250,0,0,17,30,0
251,1,0,97,31,4
252,1,0,85,16,5
253,0,1,89,36,3
254,0,0,77,79,0
255,1,0,33,93,0
256,1,0,81,51,3
257,0,0,88,83,0
258,0,0,82,13,4
259,1,1,93,46,4
260,1,1,16,8,0
261,0,1,34,1,4
262,1,0,43,65,4
263,0,1,10,59,0
264,1,1,23,89,0
265,0,1,82,42,2
266,1,0,43,37,3
267,1,1,42,65,2
268,0,1,50,11,4
269,1,1,16,94,0
270,0,0,77,3,5
271,1,0,91,19,5
272,1,0,15,27,0
273,0,1,62,19,2
274,1,0,25,74,0
275,1,1,29,2,0
276,1,0,98,70,4
277,0,1,52,91,0
278,0,0,65,100,0
279,1,0,19,62,0
280,0,0,70,82,0
281,0,0,68,83,0
282,0,0,91,23,1
283,1,1,96,46,3
284,0,1,95,1,5
285,1,0,22,93,0
286,0,0,48,14,3
287,1,0,24,1,0
288,0,0,77,14,4
289,1,1,19,74,0
290,0,0,56,8,3
291,0,1,62,82,0
292,0,0,46,99,0
293,0,0,3,51,0
294,0,1,12,33,0
295,0,1,100,62,1
296,1,0,97,92,0
297,1,0,4,47,0
298,1,0,58,89,0
299,1,1,49,21,5
300,1,0,79,42,3
301,0,1,29,71,0
302,0,0,70,59,2
303,1,1,93,1,5
